date,Total_Production
1/1/2007,3439026
2/1/2007,3514315
3/1/2007,3546589
4/1/2007,3530764
5/1/2007,3657939
6/1/2007,3642123
7/1/2007,3650681
8/1/2007,3750201
9/1/2007,3709850
10/1/2007,3717627
11/1/2007,3893659
12/1/2007,3995889
1/1/2008,3991917
2/1/2008,4041448
3/1/2008,4186072
4/1/2008,4313710
5/1/2008,4390133
6/1/2008,4468078
7/1/2008,4422651
8/1/2008,4476175
9/1/2008,4573263
10/1/2008,4624987
11/1/2008,4672743
12/1/2008,4635484
1/1/2009,4756070
2/1/2009,4821865
3/1/2009,4746428
4/1/2009,4665209
5/1/2009,4726172
6/1/2009,4665045
7/1/2009,4599872
8/1/2009,4655859
9/1/2009,4429299
10/1/2009,4587158
11/1/2009,4720208
12/1/2009,4636833
1/1/2010,4734970
2/1/2010,4771965
3/1/2010,4767412
4/1/2010,4765358
5/1/2010,4786594
6/1/2010,4771837
7/1/2010,4690361
8/1/2010,4848560
9/1/2010,4900570
10/1/2010,4876819
11/1/2010,4880140
12/1/2010,4860817
1/1/2011,4710249
2/1/2011,4661051
3/1/2011,4729424
4/1/2011,4722040
5/1/2011,4681063
6/1/2011,4618775
7/1/2011,4732957
8/1/2011,4781398
9/1/2011,4785215
10/1/2011,4916943
11/1/2011,4930559
12/1/2011,4931069
1/1/2012,5100271
2/1/2012,4787880
3/1/2012,4866842
4/1/2012,4773355
5/1/2012,4836425
6/1/2012,4664275
7/1/2012,4639643
8/1/2012,4618164
9/1/2012,4626504
10/1/2012,4676243
11/1/2012,4601718
12/1/2012,4553276
1/1/2013,4438854
2/1/2013,4440108
3/1/2013,4400763
4/1/2013,4414381
5/1/2013,4394657
6/1/2013,4319358
7/1/2013,4323749
8/1/2013,4429768
9/1/2013,4355214
10/1/2013,4476266
11/1/2013,4510824
12/1/2013,4266249
1/1/2014,4282796
2/1/2014,4274862
3/1/2014,4371825
4/1/2014,4447710
5/1/2014,4465990
6/1/2014,4455059
7/1/2014,4386334
8/1/2014,4573961
9/1/2014,4460289
10/1/2014,4573223
11/1/2014,4468285
12/1/2014,4458832
1/1/2015,4446627
2/1/2015,4540141
3/1/2015,4550144
4/1/2015,4561023
5/1/2015,4461563
6/1/2015,4540744
7/1/2015,4465865
8/1/2015,4553186
9/1/2015,4500588
10/1/2015,4588152
11/1/2015,4595886
12/1/2015,4523491
1/1/2016,4529231
2/1/2016,4452809
3/1/2016,4450662
4/1/2016,4468862
5/1/2016,4443101
6/1/2016,4364653
7/1/2016,4436771
8/1/2016,4506004
9/1/2016,4452121
10/1/2016,4526056
11/1/2016,4496870
12/1/2016,4426858
1/1/2017,4382308
2/1/2017,4432974
3/1/2017,4449920
4/1/2017,4429817
5/1/2017,4342330
6/1/2017,4357782
7/1/2017,4401615
8/1/2017,4476155
9/1/2017,4582967
10/1/2017,4644730
11/1/2017,4692952
12/1/2017,4736202
1/1/2018,4728815
2/1/2018,4770851
3/1/2018,4816803
4/1/2018,4884469
5/1/2018,4942912
6/1/2018,4991985
